config_id,strategy,search_scope,query_id,specificity,target_document_codes,gold_unit_count,top_k,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_64_12,fixed_size,all_acts,q4eu_057,N,W,4,5,0.42857142857142855,0.75,0.5454545454545454,0.25,0.25,0.4582033340096983,7,3
fs_64_12,fixed_size,all_acts,q4eu_057,N,W,4,10,0.3333333333333333,0.75,0.46153846153846156,0.25,0.25,0.4582033340096983,9,3
fs_64_12,fixed_size,all_acts,q4eu_058,N,W,4,5,0.25,0.25,0.25,0.25,1.0,0.3903800499921017,4,1
fs_64_12,fixed_size,all_acts,q4eu_058,N,W,4,10,0.2222222222222222,0.5,0.30769230769230765,0.25,1.0,0.5078961547485289,9,2
fs_64_12,fixed_size,all_acts,q4eu_059,H,W,3,5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,1.0,0.46927872602275644,6,1
fs_64_12,fixed_size,all_acts,q4eu_059,H,W,3,10,0.25,1.0,0.4,0.3333333333333333,1.0,0.7317477162875977,12,3
fs_64_12,fixed_size,all_acts,q4eu_060,L,W,4,5,0.0,0.0,0.0,0.0,0.0,0.0,10,0
fs_64_12,fixed_size,all_acts,q4eu_060,L,W,4,10,0.0,0.0,0.0,0.0,0.0,0.0,19,0
fs_64_12,fixed_size,all_acts,q4eu_061,H,W,2,5,0.16666666666666666,0.5,0.25,0.5,1.0,0.6131471927654584,6,1
fs_64_12,fixed_size,all_acts,q4eu_061,H,W,2,10,0.1,0.5,0.16666666666666669,0.5,1.0,0.6131471927654584,10,1
fs_64_12,fixed_size,all_acts,q4eu_062,H,W,2,5,0.2,0.5,0.28571428571428575,0.5,1.0,0.6131471927654584,5,1
fs_64_12,fixed_size,all_acts,q4eu_062,H,W,2,10,0.1,0.5,0.16666666666666669,0.5,1.0,0.6131471927654584,10,1
fs_64_12,fixed_size,all_acts,q4eu_063,N,W,2,5,0.3333333333333333,0.5,0.4,0.5,0.5,0.38685280723454163,3,1
fs_64_12,fixed_size,all_acts,q4eu_063,N,W,2,10,0.1,0.5,0.16666666666666669,0.5,0.5,0.38685280723454163,10,1
fs_64_12,fixed_size,all_acts,q4eu_064,N,W,3,5,0.2,0.3333333333333333,0.25,0.3333333333333333,1.0,0.46927872602275644,5,1
fs_64_12,fixed_size,all_acts,q4eu_064,N,W,3,10,0.25,1.0,0.4,0.3333333333333333,1.0,0.737362715714979,12,3
fs_64_12,fixed_size,all_acts,q4eu_065,L,W,6,5,0.6,0.5,0.5454545454545454,0.5,1.0,0.6843515475204855,5,3
fs_64_12,fixed_size,all_acts,q4eu_065,L,W,6,10,0.42857142857142855,0.5,0.4615384615384615,0.5,1.0,0.6105858728157117,7,3
fs_64_12,fixed_size,all_acts,q4eu_066,H,W,1,5,0.14285714285714285,1.0,0.25,0.0,0.5,0.6309297535714575,7,1
fs_64_12,fixed_size,all_acts,q4eu_066,H,W,1,10,0.09090909090909091,1.0,0.16666666666666669,0.0,0.5,0.6309297535714575,11,1
fs_64_12,fixed_size,all_acts,q4eu_067,L,W,3,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,3,1
fs_64_12,fixed_size,all_acts,q4eu_067,L,W,3,10,0.14285714285714285,0.3333333333333333,0.2,0.3333333333333333,1.0,0.46927872602275644,7,1
fs_64_12,fixed_size,all_acts,q4eu_068,L,B;RI;RII,6,5,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.0,0.14285714285714285,0.10086747116627115,9,1
fs_64_12,fixed_size,all_acts,q4eu_068,L,B;RI;RII,6,10,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.0,0.14285714285714285,0.10086747116627115,15,1
fs_64_12,fixed_size,all_acts,q4eu_069,L,RI,5,5,0.0,0.0,0.0,0.0,0.0,0.0,10,0
fs_64_12,fixed_size,all_acts,q4eu_069,L,RI,5,10,0.0625,0.2,0.09523809523809523,0.0,0.0625,0.08297572808511901,16,1
fs_64_12,fixed_size,all_acts,q4eu_070,H,RII,4,5,0.1111111111111111,0.25,0.15384615384615383,0.0,0.2,0.15101961822780524,9,1
fs_64_12,fixed_size,all_acts,q4eu_070,H,RII,4,10,0.125,0.5,0.2,0.0,0.2,0.2638647595767405,16,2
fs_64_12,fixed_size,all_acts,q4eu_071,N,B,2,5,0.0,0.0,0.0,0.0,0.0,0.0,8,0
fs_64_12,fixed_size,all_acts,q4eu_071,N,B,2,10,0.0,0.0,0.0,0.0,0.0,0.0,16,0
fs_64_12,fixed_size,all_acts,q4eu_072,L,G,3,5,0.25,0.6666666666666666,0.36363636363636365,0.0,0.25,0.3501483019834802,8,2
fs_64_12,fixed_size,all_acts,q4eu_072,L,G,3,10,0.23076923076923078,1.0,0.375,0.0,0.25,0.49141527484330916,13,3
fs_64_12,fixed_size,pil_acts,q4eu_034,L,B,3,5,0.0,0.0,0.0,0.0,0.0,0.0,7,0
fs_64_12,fixed_size,pil_acts,q4eu_034,L,B,3,10,0.0,0.0,0.0,0.0,0.0,0.0,15,0
fs_64_12,fixed_size,pil_acts,q4eu_035,N,B,4,5,0.14285714285714285,0.25,0.18181818181818182,0.0,0.14285714285714285,0.13012668333070054,7,1
fs_64_12,fixed_size,pil_acts,q4eu_035,N,B,4,10,0.08333333333333333,0.25,0.125,0.0,0.14285714285714285,0.13012668333070054,12,1
fs_64_12,fixed_size,pil_acts,q4eu_036,N,RI,4,5,0.1111111111111111,0.25,0.15384615384615383,0.25,1.0,0.3903800499921017,9,1
fs_64_12,fixed_size,pil_acts,q4eu_036,N,RI,4,10,0.06666666666666667,0.25,0.10526315789473685,0.25,1.0,0.3903800499921017,15,1
fs_64_12,fixed_size,pil_acts,q4eu_037,H,B,3,5,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,1.0,0.7039180890341347,4,2
fs_64_12,fixed_size,pil_acts,q4eu_037,H,B,3,10,0.3,1.0,0.4615384615384615,0.6666666666666666,1.0,0.8710785440003369,10,3
fs_64_12,fixed_size,pil_acts,q4eu_038,H,B,3,5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,5,3
fs_64_12,fixed_size,pil_acts,q4eu_038,H,B,3,10,0.3,1.0,0.4615384615384615,1.0,1.0,1.0,10,3
fs_64_12,fixed_size,pil_acts,q4eu_039,N,RII,22,5,0.5,0.13636363636363635,0.21428571428571427,0.13636363636363635,0.3333333333333333,0.38941412718428836,6,3
fs_64_12,fixed_size,pil_acts,q4eu_039,N,RII,22,10,0.4166666666666667,0.22727272727272727,0.29411764705882354,0.22727272727272727,0.3333333333333333,0.3749026536918716,12,5
fs_64_12,fixed_size,pil_acts,q4eu_040,H,RI,4,5,0.14285714285714285,0.25,0.18181818181818182,0.25,1.0,0.3903800499921017,7,1
fs_64_12,fixed_size,pil_acts,q4eu_040,H,RI,4,10,0.14285714285714285,0.5,0.22222222222222224,0.25,1.0,0.490300956513237,14,2
