config_id,search_scope,target_document,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_128_25,target_acts,RII,10,3,0.2333333333333333,0.4545454545454546,0.2514619883040936,0.20454545454545456,0.4166666666666667,0.3692053178786982,18.333333333333332,4.0
fs_128_25,target_acts,W,5,21,0.23093348450491308,0.5023809523809524,0.28386930529787674,0.28015873015873016,0.696031746031746,0.46951114537635796,6.190476190476191,1.2857142857142858
fs_128_25,target_acts,W,10,21,0.1390304995347012,0.5595238095238095,0.21172195373876046,0.28015873015873016,0.7007936507936507,0.4845512016758946,11.19047619047619,1.5238095238095237
fs_256_50,all_acts,B,5,10,0.18942113442113442,0.5866666666666667,0.27506204579733995,0.295,0.5416666666666667,0.4489011832996802,11.9,2.0
fs_256_50,all_acts,B,10,10,0.10165110488639902,0.6816666666666666,0.17215261308739568,0.295,0.5464285714285715,0.4821082158764144,24.5,2.3
fs_256_50,all_acts,E,5,17,0.14227994227994228,0.7617647058823529,0.23689494857314924,0.36274509803921573,0.5658263305322129,0.5658756842622773,11.0,1.5294117647058822
fs_256_50,all_acts,E,10,17,0.09695491460925808,0.9176470588235294,0.1735631107415965,0.36274509803921573,0.5658263305322129,0.6175656742337319,20.58823529411765,1.9411764705882353
fs_256_50,all_acts,G,5,17,0.18896316102198454,0.6098039215686275,0.2640831820398384,0.20588235294117646,0.42516339869281045,0.39805665062534606,8.882352941176471,1.6470588235294117
fs_256_50,all_acts,G,10,17,0.12664217750722942,0.7098039215686275,0.20001815648941776,0.20588235294117646,0.43496732026143786,0.44097912256499977,17.058823529411764,2.0588235294117645
fs_256_50,all_acts,RI,5,7,0.1044060367368638,0.38571428571428573,0.15436230436230436,0.20714285714285713,0.4523809523809524,0.31897601974441164,13.0,1.1428571428571428
fs_256_50,all_acts,RI,10,7,0.06770503073024081,0.4857142857142857,0.11573511455864396,0.20714285714285713,0.45918367346938777,0.3559986256628442,24.428571428571427,1.5714285714285714
fs_256_50,all_acts,RII,5,3,0.1978021978021978,0.393939393939394,0.23093681917211328,0.2272727272727273,0.6666666666666666,0.4483407870405609,12.666666666666666,2.6666666666666665
fs_256_50,all_acts,RII,10,3,0.20470717022441157,0.48484848484848486,0.23584684049800328,0.3181818181818182,0.6666666666666666,0.4794126358824187,23.666666666666668,4.666666666666667
fs_256_50,all_acts,W,5,21,0.1396736200307629,0.42777777777777776,0.19749275778687542,0.24206349206349204,0.5845804988662132,0.3877492105321707,9.19047619047619,1.1428571428571428
fs_256_50,all_acts,W,10,21,0.10147107048872331,0.576984126984127,0.1650178045836309,0.24206349206349204,0.5845804988662132,0.44569826621029146,18.38095238095238,1.7142857142857142
fs_256_50,pil_acts,B,5,10,0.18942113442113442,0.5866666666666667,0.27506204579733995,0.295,0.5416666666666667,0.4489011832996802,11.7,2.0
fs_256_50,pil_acts,B,10,10,0.10192583016112429,0.6816666666666666,0.17262880356358618,0.295,0.5472222222222223,0.48279280018328674,24.3,2.3
fs_256_50,pil_acts,RI,5,7,0.1044060367368638,0.38571428571428573,0.15436230436230436,0.20714285714285713,0.4523809523809524,0.31897601974441164,12.714285714285714,1.1428571428571428
fs_256_50,pil_acts,RI,10,7,0.06430367018602313,0.4857142857142857,0.11083715537497049,0.20714285714285713,0.45918367346938777,0.3570485623933906,24.857142857142858,1.5714285714285714
fs_256_50,pil_acts,RII,5,3,0.1978021978021978,0.393939393939394,0.23093681917211328,0.2272727272727273,0.6666666666666666,0.4483407870405609,12.0,2.6666666666666665
fs_256_50,pil_acts,RII,10,3,0.20470717022441157,0.48484848484848486,0.23584684049800328,0.3181818181818182,0.6666666666666666,0.4794126358824187,23.666666666666668,4.666666666666667
fs_256_50,target_acts,B,5,10,0.2189052614052614,0.71,0.3273270030622972,0.39499999999999996,0.625,0.5513513476509191,11.4,2.4
fs_256_50,target_acts,B,10,10,0.1257541456975497,0.7849999999999999,0.21291891766404508,0.39499999999999996,0.625,0.5795633759301801,22.8,2.7
fs_256_50,target_acts,E,5,17,0.15208386384856973,0.7911764705882353,0.25186821060523484,0.4215686274509804,0.6491596638655462,0.6224772291421788,11.0,1.588235294117647
fs_256_50,target_acts,E,10,17,0.09824186901950516,0.9176470588235294,0.17567363503387273,0.4215686274509804,0.6491596638655462,0.6644204093627375,20.294117647058822,1.9411764705882353
fs_256_50,target_acts,G,5,17,0.18896316102198454,0.6098039215686275,0.2640831820398384,0.20588235294117646,0.42516339869281045,0.39805665062534606,8.882352941176471,1.6470588235294117
fs_256_50,target_acts,G,10,17,0.1236758627762088,0.7098039215686275,0.19751796136492833,0.20588235294117646,0.43496732026143786,0.44097912256499977,17.0,2.0588235294117645
fs_256_50,target_acts,RI,5,7,0.14666866746698679,0.4571428571428572,0.21142160213367642,0.2785714285714286,0.5178571428571429,0.38076088332062036,11.285714285714286,1.4285714285714286
fs_256_50,target_acts,RI,10,7,0.09943313801947577,0.55,0.16249394329584663,0.2785714285714286,0.5178571428571429,0.41759551425357255,21.857142857142858,1.8571428571428572
