query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_039,sem_50_256,hier_paragraph,target_acts,10,N,RII,0.4166666666666667,0.5555555555555556,0.1388888888888889,0.22727272727272727,0.22727272727272727,0.0,0.29411764705882354,0.3225806451612903,0.028462998102466774,0.22727272727272727,0.22727272727272727,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3754240395634658,0.5926006319332827,0.2171765923698169
q4eu_040,fs_256_50,hier_paragraph,target_acts,10,H,RI,0.125,0.25,0.125,0.5,0.5,0.0,0.2,0.3333333333333333,0.1333333333333333,0.25,0.5,0.25,0.5,1.0,0.5,0.3551961498089622,0.5855700749881525,0.2303739251791903
q4eu_040,sem_50_256,hier_paragraph,target_acts,10,H,RI,0.16666666666666666,0.25,0.08333333333333334,0.5,0.5,0.0,0.25,0.3333333333333333,0.08333333333333331,0.5,0.5,0.0,0.5,1.0,0.5,0.4144299250118475,0.5855700749881525,0.171140149976305
q4eu_041,fs_256_50,hier_paragraph,target_acts,10,N,B,0.21739130434782608,0.5714285714285714,0.35403726708074534,1.0,0.8,-0.19999999999999996,0.3571428571428571,0.6666666666666666,0.30952380952380953,0.6,0.6,0.0,1.0,1.0,0.0,0.9274340023311567,0.8357799744028238,-0.09165402792833288
q4eu_041,sem_50_256,hier_paragraph,target_acts,10,N,B,0.36363636363636365,0.5714285714285714,0.20779220779220775,0.8,0.8,0.0,0.5000000000000001,0.6666666666666666,0.16666666666666652,0.6,0.6,0.0,1.0,1.0,0.0,0.8297197050122155,0.8357799744028238,0.0060602693906083305
q4eu_042,fs_256_50,hier_paragraph,target_acts,10,L,RI,0.058823529411764705,0.25,0.19117647058823528,0.5,1.0,0.5,0.10526315789473684,0.4,0.2947368421052632,0.5,0.5,0.0,1.0,1.0,0.0,0.6131471927654584,0.8503449055347546,0.23719771276929624
q4eu_042,sem_50_256,hier_paragraph,target_acts,10,L,RI,0.16666666666666666,0.25,0.08333333333333334,1.0,1.0,0.0,0.2857142857142857,0.4,0.11428571428571432,0.5,0.5,0.0,1.0,1.0,0.0,0.8065735963827293,0.8503449055347546,0.04377130915202532
q4eu_043,fs_256_50,hier_paragraph,target_acts,10,N,B;RI,0.06451612903225806,0.2222222222222222,0.15770609318996415,1.0,1.0,0.0,0.12121212121212122,0.3636363636363636,0.24242424242424238,0.5,1.0,0.5,0.5,1.0,0.5,0.5578858913022597,1.0,0.44211410869774026
q4eu_043,sem_50_256,hier_paragraph,target_acts,10,N,B;RI,0.15384615384615385,0.2222222222222222,0.06837606837606836,1.0,1.0,0.0,0.2666666666666667,0.3636363636363636,0.09696969696969687,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
q4eu_044,fs_256_50,hier_paragraph,target_acts,10,L,RI,0.3076923076923077,0.42857142857142855,0.12087912087912084,1.0,0.75,-0.25,0.47058823529411764,0.5454545454545454,0.07486631016042777,0.5,0.75,0.25,1.0,1.0,0.0,0.9108532513310018,0.8048099750039491,-0.10604327632705268
q4eu_044,sem_50_256,hier_paragraph,target_acts,10,L,RI,0.4444444444444444,0.42857142857142855,-0.015873015873015872,1.0,0.75,-0.25,0.6153846153846153,0.5454545454545454,-0.0699300699300699,0.5,0.75,0.25,1.0,1.0,0.0,0.9058653015743079,0.8048099750039491,-0.10105532657035876
q4eu_045,fs_256_50,hier_paragraph,target_acts,10,N,B,0.15,0.4,0.25,0.75,1.0,0.25,0.24999999999999997,0.5714285714285715,0.3214285714285715,0.5,1.0,0.5,1.0,1.0,0.0,0.6640031704983295,1.0,0.33599682950167054
q4eu_045,sem_50_256,hier_paragraph,target_acts,10,N,B,0.25,0.4,0.15000000000000002,0.75,1.0,0.25,0.375,0.5714285714285715,0.1964285714285715,0.75,1.0,0.25,1.0,1.0,0.0,0.8318724637288826,1.0,0.16812753627111743
